anno,nome,"altra_condizione_dipendente(apprendista,_lavoro_a_domicili,_ecc)",casalinga,disoccupata,in_cerca_di_prima_occupazione,occupata,studentessa
2020,A.O. Integrata Con Università - Verona,0.0,85.0,93.0,1.0,303.0,45.0
2020,Azienda Ospedale - Università Padova,0.0,27.0,81.0,5.0,195.0,16.0
2020,Azienda Ulss N. 1 Dolomiti,0.0,25.0,19.0,1.0,112.0,14.0
2020,Azienda Ulss N. 2 Marca Trevigiana,1.0,160.0,94.0,4.0,407.0,80.0
2020,Azienda Ulss N. 3 Serenissima,6.0,98.0,186.0,7.0,330.0,50.0
2020,Azienda Ulss N. 4 Veneto Orientale,1.0,17.0,29.0,1.0,50.0,6.0
2020,Azienda Ulss N. 5 Polesana,1.0,30.0,52.0,2.0,87.0,9.0
2020,Azienda Ulss N. 6 Euganea,7.0,80.0,77.0,1.0,241.0,40.0
2020,Azienda Ulss N. 7 Pedemontana,4.0,28.0,58.0,4.0,152.0,29.0
2020,Azienda Ulss N. 8 Berica,6.0,94.0,64.0,8.0,164.0,40.0
2020,Azienda Ulss N. 9 Scaligera,1.0,67.0,59.0,8.0,148.0,19.0
2021,A.O. Integrata Con Università - Verona,4.0,79.0,77.0,0.0,340.0,56.0
2021,Azienda Ospedale - Università Padova,0.0,31.0,80.0,8.0,175.0,16.0
2021,Azienda Ulss N. 1 Dolomiti,0.0,11.0,22.0,0.0,98.0,14.0
2021,Azienda Ulss N. 2 Marca Trevigiana,6.0,112.0,156.0,3.0,429.0,64.0
2021,Azienda Ulss N. 3 Serenissima,4.0,54.0,178.0,9.0,318.0,54.0
2021,Azienda Ulss N. 4 Veneto Orientale,1.0,22.0,24.0,1.0,47.0,6.0
2021,Azienda Ulss N. 5 Polesana,0.0,25.0,61.0,2.0,84.0,16.0
2021,Azienda Ulss N. 6 Euganea,4.0,63.0,74.0,2.0,257.0,51.0
2021,Azienda Ulss N. 7 Pedemontana,3.0,52.0,62.0,3.0,176.0,19.0
2021,Azienda Ulss N. 8 Berica,3.0,80.0,43.0,3.0,164.0,34.0
2021,Azienda Ulss N. 9 Scaligera,1.0,68.0,55.0,8.0,140.0,34.0
2022,A.O. Integrata Con Università - Verona,5.0,50.0,128.0,2.0,379.0,43.0
2022,Azienda Ospedale - Università Padova,2.0,25.0,72.0,4.0,146.0,20.0
2022,Azienda Ulss N. 1 Dolomiti,0.0,10.0,16.0,0.0,101.0,12.0
2022,Azienda Ulss N. 2 Marca Trevigiana,6.0,126.0,165.0,6.0,439.0,62.0
2022,Azienda Ulss N. 3 Serenissima,3.0,82.0,143.0,6.0,349.0,77.0
2022,Azienda Ulss N. 4 Veneto Orientale,2.0,13.0,19.0,3.0,71.0,4.0
2022,Azienda Ulss N. 5 Polesana,1.0,32.0,41.0,3.0,84.0,16.0
2022,Azienda Ulss N. 6 Euganea,2.0,47.0,86.0,4.0,288.0,51.0
2022,Azienda Ulss N. 7 Pedemontana,2.0,29.0,60.0,0.0,211.0,38.0
2022,Azienda Ulss N. 8 Berica,3.0,54.0,56.0,2.0,177.0,29.0
2022,Azienda Ulss N. 9 Scaligera,3.0,76.0,55.0,3.0,205.0,25.0
2023,A.O. Integrata Con Università - Verona,2.0,63.0,98.0,0.0,295.0,58.0
2023,Azienda Ospedale - Università Padova,0.0,19.0,53.0,5.0,155.0,25.0
2023,Azienda Ulss N. 1 Dolomiti,1.0,11.0,18.0,1.0,117.0,8.0
2023,Azienda Ulss N. 2 Marca Trevigiana,9.0,101.0,185.0,3.0,420.0,75.0
2023,Azienda Ulss N. 3 Serenissima,2.0,69.0,156.0,6.0,345.0,66.0
2023,Azienda Ulss N. 4 Veneto Orientale,1.0,10.0,14.0,0.0,37.0,12.0
2023,Azienda Ulss N. 5 Polesana,0.0,22.0,20.0,0.0,95.0,9.0
2023,Azienda Ulss N. 6 Euganea,0.0,47.0,107.0,5.0,301.0,71.0
2023,Azienda Ulss N. 7 Pedemontana,3.0,22.0,84.0,0.0,200.0,28.0
2023,Azienda Ulss N. 8 Berica,2.0,54.0,81.0,1.0,228.0,42.0
2023,Azienda Ulss N. 9 Scaligera,2.0,79.0,77.0,9.0,204.0,34.0
